region,tenure,age,marital,address,income,education,employ,retire,gender,reside,tollfree,equip,callcard,wireless,longmon,tollmon,equipmon,cardmon,wiremon,longten,tollten,equipten,cardten,wireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,loglong,logtoll,logequi,logcard,logwire,lninc,custcat,unsubscribe
2,13,44,1,9,64,4,5,0,0,2,0,0,1,0,3.7,0,0,7.5,0,37.45,0,0,110,0,0,0,0,0,0,0,1,0,0,1.308,,,2.015,,4.159,1,1
3,11,33,1,7,136,5,5,0,0,6,1,0,1,1,4.4,20.75,0,15.25,35.7,42,211.45,0,125,380.35,0,1,1,0,1,1,1,1,0,1.482,3.033,,2.725,3.575,4.913,4,1
3,68,52,1,24,116,1,29,0,1,2,1,0,1,0,18.15,18,0,30.25,0,1300.6,1247.2,0,2150,0,0,0,0,0,1,1,0,1,0,2.899,2.89,,3.409,,4.754,3,0
2,33,33,0,12,33,2,0,0,1,1,0,0,0,0,9.45,0,0,0,0,288.8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.246,,,,,3.497,1,1
2,23,30,1,9,30,1,2,0,0,4,0,0,0,0,6.3,0,0,0,0,157.05,0,0,0,0,0,0,0,0,1,0,1,1,0,1.841,,,,,3.401,3,0
2,41,39,0,17,78,2,16,0,1,1,1,0,1,0,11.8,19.25,0,13.5,0,487.4,798.4,0,570,0,0,0,0,0,1,1,0,0,0,2.468,2.958,,2.603,,4.357,3,0
3,45,22,1,2,19,2,4,0,1,5,0,0,1,0,10.9,0,0,8.75,0,504.5,0,0,415,0,1,0,0,1,0,1,0,0,1,2.389,,,2.169,,2.944,2,1
2,38,35,0,5,76,2,10,0,0,3,1,1,1,1,6.05,45,50.1,23.25,64.9,239.55,1873.05,1820.9,880,2256.7,1,1,1,1,1,1,1,1,1,1.8,3.807,3.914,3.146,4.173,4.331,4,0
3,45,59,1,7,166,4,31,0,0,5,1,0,1,0,9.75,28.5,0,12,0,449.05,1240.15,0,505,0,1,0,0,0,1,1,1,1,0,2.277,3.35,,2.485,,5.112,3,0
1,68,41,1,21,72,1,22,0,0,3,0,0,1,0,24.15,0,0,16.5,0,1659.7,0,0,1155,0,1,0,0,0,0,0,0,0,0,3.184,,,2.803,,4.277,2,0
